Linienname;Überschrift;Betriebszweig;DIVA-Name;Globale ID;
"92";"Stuttgart Rotebühlplatz  - Leonberg - Heslach Vogelrain";"30";"30092_";"de:vvs:30092_:";
"92";"Stuttgart Rotebühlplatz - Leonberg - Heslach Vogelrain";"30";"30092_";"de:vvs:30092_:";
"99";"Korntaler Straße - Schlotwiese - Zuffenhausen";"30";"30099_";"de:vvs:30099_:";
"R46E";"Holzgerlingen - Böblingen
(Schienenersatzverkehr)";"31";"31046e";"de:vvs:31046e:";
"101";"Lerchenäcker - Esslingen (N) ZOB - Obertürkheim";"31";"31101_";"de:vvs:31101_:";
"102";"Zell - Esslingen (N) ZOB - Weil - Mettingen";"31";"31102_";"de:vvs:31102_:";
"102";"Zell - Esslingen (N) ZOB - Weil - Mettingen";"31";"31102_";"de:vvs:31102_:";
"103";"Zell - Esslingen (N) ZOB - Weil - Hedelfingen";"31";"31103_";"de:vvs:31103_:";
"103";"Zell - Esslingen (N) ZOB - Weil - Hedelfingen";"31";"31103_";"de:vvs:31103_:";
"104";"Esslingen (N) ZOB - Industriegebiet - Sirnau - Deizisau";"31";"31104_";"de:vvs:31104_:";
"105";"Essl. (N) Am Schönen Rain - Klinikum Esslingen - Essl. (N) ZOB";"31";"31105_";"de:vvs:31105_:";
"105";"Essl. (N) Am Schönen Rain - Klinikum Esslingen - Essl. (N) ZOB";"31";"31105_";"de:vvs:31105_:";
"106";"Esslingen (N) ZOB - Baltmannsweiler - Hohengehren (- Winterbach)";"31";"31106_";"de:vvs:31106_:";
"107";"Plochingen - Aichschieß - Schanbach - Aichelberg";"31";"31107_";"de:vvs:31107_:";
"108";"Esslingen (N) ZOB - Jägerhaus (- Dulkhäusle)";"31";"31108_";"de:vvs:31108_:";
"109";"Esslingen ZOB - Sulzgries - Rüdern / Neckarhalde";"31";"31109_";"de:vvs:31109_:";
"110";"Esslingen ZOB - Hohenkreuz - Wäldenbronn - Wiflingshausen";"31";"31110_";"de:vvs:31110_:";
"111";"Esslingen ZOB - St. Bernhardt - Serach";"31";"31111_";"de:vvs:31111_:";
"113";"Essl. (N) ZOB - Zollberg / - Adenauerbrücke - Berkheim";"31";"31113_";"de:vvs:31113_:";
"114";"Esslingen (N) ZOB - Aichwald - Beutelsbach - Endersbach";"31";"31114_";"de:vvs:31114_:";
"114A";"Schülerverkehr: Zell Berufliches Schulzentrum - Aichwald";"31";"31114a";"de:vvs:31114a:";
"115";"Esslingen (N) ZOB - Oberesslingen - Zell";"31";"31115_";"de:vvs:31115_:";
"118";"Esslingen (N) ZOB - Pliensauvorstadt - Zollberg - Esslingen (N) ZOB";"31";"31118_";"de:vvs:31118_:";
"119";"Esslingen (N) - Nellingen - Denkendorf";"31";"31119_";"de:vvs:31119_:";
"120";"Esslingen (N) - Nellingen - Neuhausen (- Wolfschlugen)";"31";"31120_";"de:vvs:31120_:";
"121";"Oberesslingen - Denkendorf - Neuhausen";"31";"31121_";"de:vvs:31121_:";
"121";"Oberesslingen - Denkendorf - Neuhausen";"31";"31121_";"de:vvs:31121_:";
"122";"Esslingen (N) - Scharnhausen - Flughafen/Messe";"31";"31122_";"de:vvs:31122_:";
"130";"Esslingen (N) - Ruit - Heumaden - Kemnat (- Scharnhausen)";"31";"31130_";"de:vvs:31130_:";
"131";"Esslingen (N) - Ruit - Heumaden - Kemnat";"31";"31131_";"de:vvs:31131_:";
"132";"Oberesslingen - St. Bernhard - Serach - Sulzgries - Rüdern";"31";"31132_";"de:vvs:31132_:";
"132";"Oberesslingen - St. Bernhard - Serach - Sulzgries - Rüdern";"31";"31132_";"de:vvs:31132_:";
"138";"Jägerhaus - Oberesslingen - Zell - Sirnau - Berkheim";"31";"31138_";"de:vvs:31138_:";
"140";"(Esslingen (N) ) - Oberesslingen - Altbach - Plochingen";"31";"31140_";"de:vvs:31140_:";
"141";"Plochingen ZOB - Lettenäcker - Stumpenhof";"31";"31141_";"de:vvs:31141_:";
"142";"Reichenbach Bahnhof - Rißhalde - Siegenberg - Bahnhof";"31";"31142_";"de:vvs:31142_:";
"143";"Deizisau - Plochingen";"31";"31143_";"de:vvs:31143_:";
"144";"Kirchheim (T) -  Hochdorf - Reichenbach (F)";"31";"31144_";"de:vvs:31144_:";
"145";"Wernau (N) Bahnhof - Katzenstein - Schmalwiesen - Bahnhof
[Stadtverkehr Wernau (Neckar)]";"31";"31145_";"de:vvs:31145_:";
"146";"Wernau (N) Bahnhof - Schmalwiesen - Katzenstein - Bahnhof
[Stadtverkehr Wernau (Neckar)]";"31";"31146_";"de:vvs:31146_:";
"147";"Plochingen - Hochdorf - Plochingen";"31";"31147_";"de:vvs:31147_:";
"147A";"Hochdorf - Reichenbach (F) / Plochingen (Schülerverkehr)";"31";"31147a";"de:vvs:31147a:";
"148";"Reichenbach Bahnhof - Siegenberg - Rißhalde - Bahnhof";"31";"31148_";"de:vvs:31148_:";
"149";"Plochingen - Reichenbach (F) - Baltmannsweiler (- Engelberg)";"31";"31149_";"de:vvs:31149_:";
"151";"Wendlingen (N) ZOB - Köngen - Wendlingen (N)";"31";"31151_";"de:vvs:31151_:";
"154";"Wendlingen (N) ZOB - Weinhalde - ZOB";"31";"31154_";"de:vvs:31154_:";
"155";"Wendlingen (N) ZOB - Unterboihingen - ZOB";"31";"31155_";"de:vvs:31155_:";
"155A";"Wendlingen (N) Schulzentrum - Sporthalle Im Speck -
Schulzentrum";"31";"31155a";"de:vvs:31155a:";
"159";"Plochingen ZOB - Gewerbegebiet Filsallee";"31";"31159_";"de:vvs:31159_:";
"161";"Kirchheim (T) Altvaterweg - ZOB - Ötlingen";"31";"31161_";"de:vvs:31161_:";
"163";"Ötlingen - Lindorf - Kirchheim (T) ZOB - Schafhof";"31";"31163_";"de:vvs:31163_:";
"164";"Ötlingen - ZOB - Martinskirche - Schafhof";"31";"31164_";"de:vvs:31164_:";
"165";"Wellingen - Notzingen - Kirchheim (T) ZOB - Ohmden - Zell";"31";"31165_";"de:vvs:31165_:";
"165A";"Kirchheim (T) ZOB - Saarstraße - Alte Plochinger Steige";"31";"31165a";"de:vvs:31165a:";
"166";"Kirchheim (T) - Reudern - Nürtingen Krankenhaus -
Nürtingen";"31";"31166_";"de:vvs:31166_:";
"166A";"Kirchheim (T) - Reudern - Nürtingen Krankenhaus -
Nürtingen";"31";"31166a";"de:vvs:31166a:";
"167";"Nürtingen - Oberensingen - Grötzingen -
Aich (- Neuenhaus)";"31";"31167_";"de:vvs:31167_:";
"168";"Wernau (N) - Notzingen -  Hochdorf - Reichenbach (F)";"31";"31168_";"de:vvs:31168_:";
"169";"Nürtingen ZOB - Oberensingen Bachhalde - Nürtingen ZOB";"31";"31169_";"de:vvs:31169_:";
"170";"RadWanderBus: Kirchheim (T) - Holzmaden -
Reußenstein - Wiesensteig/Schopfloch";"31";"31170_";"de:vvs:31170_:";
"171";"Kirchheim - Holzmaden - (Ohmden)";"31";"31171_";"de:vvs:31171_:";
"173";"Kirchheim (T) - Holzmaden - Weilheim (T) - Bissingen (T) - Kirchheim (T)";"31";"31173_";"de:vvs:31173_:";
"173A";"Kirchheim (T) - Weilheim (T) - Bissingen (T) - Kirchheim (T)";"31";"31173a";"de:vvs:31173a:";
"174";"Neidlingen - Hepsisau - Weilheim (T) und zurück";"31";"31174_";"de:vvs:31174_:";
"175";"Kirchheim (T) - Bissingen (T) - Weilheim (T) - Holzmaden - Kirchheim (T)";"31";"31175_";"de:vvs:31175_:";
"175A";"Kirchheim (T) - Bissingen (T) - Weilheim (T) - Kirchheim (T)";"31";"31175a";"de:vvs:31175a:";
"176";"Kirchheim (T) - Dettingen (T) - Bissingen (T) - Oberlenningen";"31";"31176_";"de:vvs:31176_:";
"177";"Neidlingen - Weilheim (T) - Kirchheim (T)
Kirchheim (T) - Owen - Oberlenningen";"31";"31177_";"de:vvs:31177_:";
"177A";"Oberlenningen - Kirchheim (T) - Weilheim (T) - Neidlingen";"31";"31177a";"de:vvs:31177a:";
"178";"Beuren - Owen";"31";"31178_";"de:vvs:31178_:";
"179";"(Neuffen -) Beuren - Erkenbrechtsweiler - Oberlenningen";"31";"31179_";"de:vvs:31179_:";
"180";"Nürtingen - Neuffen - Beuren - Kohlberg - Tischardt - Nürtingen";"31";"31180_";"de:vvs:31180_:";
"181";"Owen Bf - Rieth - Nürtingen ZOB";"31";"31181_";"de:vvs:31181_:";
"182";"Nürtingen ZOB - Roßdorf";"31";"31182_";"de:vvs:31182_:";
"182A";"Schülerverkehr Nürtingen Roßdorf - Neckarhausen";"31";"31182a";"de:vvs:31182a:";
"183";"Nürtingen ZOB - Braike (- Waldfriedhof) - Roßdorf";"31";"31183_";"de:vvs:31183_:";
"184";"Nürtingen - Zizishausen - Unterensingen - Wendlingen";"31";"31184_";"de:vvs:31184_:";
"185";"(Grafenberg - ) Kleinbettlingen - Bempflingen - Nürtingen";"31";"31185_";"de:vvs:31185_:";
"185A";"Schülerverkehr Grafenberg - Großbettlingen - Nürtingen";"31";"31185a";"de:vvs:31185a:";
"186";"Nürtingen medius Klinik - 
 - ZOB - Hardt";"31";"31186_";"de:vvs:31186_:";
"187";"Metzingen - Bempflingen - Neckartenzlingen";"31";"31187_";"de:vvs:31187_:";
"187";"Metzingen - Bempflingen - Neckartenzlingen";"31";"31187_";"de:vvs:31187_:";
"187A";"Neckartenzlingen - Bempflingen - Kleinbettlingen
(- Großbettlingen)";"31";"31187a";"de:vvs:31187a:";
"187A";"Neckartenzlingen - Bempflingen - Kleinbettlingen
(- Großbettlingen)";"31";"31187a";"de:vvs:31187a:";
"188";"Nürtingen - Altdorf - Neckartenzlingen (- Schlaitdorf)";"31";"31188_";"de:vvs:31188_:";
"188A";"Altdorf/Neckartailf./Schlaitdorf/Häslach - N. Auwiesenschule";"31";"31188a";"de:vvs:31188a:";
"189";"Nürtingen - Neckartailfingen - Schlaitdorf - Neckartenzlingen";"31";"31189_";"de:vvs:31189_:";
"189A";"Altdorf/Neckartailfingen -
Walddorf Gustav-Werner-Schule";"31";"31189a";"de:vvs:31189a:";
"189A";"Altdorf/Neckartailfingen -
Walddorf Gustav-Werner-Schule";"31";"31189a";"de:vvs:31189a:";
"191";"Neuffen - Hohenneuffen - Oberlenningen";"31";"31191_";"de:vvs:31191_:";
"192";"Neuffen - Kohlberg - Kappishäusern";"31";"31192_";"de:vvs:31192_:";
"193";"Nürtingen ZOB - Neuffener Straße - Schelmenwasen";"31";"31193_";"de:vvs:31193_:";
"195";"Frickenhausen - Großbettlingen - Nürtingen";"31";"31195_";"de:vvs:31195_:";
"196";"Nürtingen - Oberboihingen - Wendlingen (N)";"31";"31196_";"de:vvs:31196_:";
"198";"(Neuffen -) Kohlberg - Tischardt - Frickenhausen";"31";"31198_";"de:vvs:31198_:";
"199";"Beuren - Neuffen - Kohlberg - Metzingen";"31";"31199_";"de:vvs:31199_:";
"201";"Waiblingen - Neustadt - Hohenacker - Bittenfeld";"31";"31201_";"de:vvs:31201_:";
"201A";"Waiblingen - Neustadt - Hohenacker - Bittenfeld";"31";"31201a";"de:vvs:31201a:";
"202";"Endersbach - Strümpfelbach";"31";"31202_";"de:vvs:31202_:";
"204";"Hegnach - Waiblingen - Beinstein (- Endersbach)";"31";"31204_";"de:vvs:31204_:";
"205";"Waiblingen - Schmiden";"31";"31205_";"de:vvs:31205_:";
"206";"Waiblingen - Endersbach - Beutelsbach - Schnait";"31";"31206_";"de:vvs:31206_:";
"206A";"Weinstadt - Remshalden / Engelberg";"31";"31206a";"de:vvs:31206a:";
"207";"(Korb -) Korber Höhe - Waiblingen Bf - Fellbach";"31";"31207_";"de:vvs:31207_:";
"208";"Waiblingen Bf - Altstadt - Galgenberg -
Altstadt - Waiblingen Bf (Citybus 1)";"31";"31208_";"de:vvs:31208_:";
"209";"Waiblingen - Korb - Kleinheppach - Endersbach";"31";"31209_";"de:vvs:31209_:";
"210";"Fellbach - Remspark - Rommelshausen";"31";"31210_";"de:vvs:31210_:";
"211";"Waiblingen - Rommelshausen - Stetten i. R.";"31";"31211_";"de:vvs:31211_:";
"212";"Fellbach - Rommelshausen - Stetten i. R.";"31";"31212_";"de:vvs:31212_:";
"214";"Neckargröningen - Fellbach";"31";"31214_";"de:vvs:31214_:";
"215";"(Fellbach Gewerbegebiet -) Bahnhof - Gartenstraße";"31";"31215_";"de:vvs:31215_:";
"216";"Waiblingen Bf - Industriegebiet Eisental - Waiblingen Bf";"31";"31216_";"de:vvs:31216_:";
"217";"Buoch - Grunbach - Geradstetten - Rohrbronn";"31";"31217_";"de:vvs:31217_:";
"217A";"Schülerverkehr Remshalden";"31";"31217a";"de:vvs:31217a:";
"218";"Waiblingen Bf - Friedhof - Altstadt - Wasserstube 
 - Altstadt - Friedhof - Waiblingen Bf  (Citybus 2)";"31";"31218_";"de:vvs:31218_:";
"219";"Endersbach - Stetten i. R.";"31";"31219_";"de:vvs:31219_:";
"228";"(Schorndorf -) Rudersberg - Kaisersbach";"31";"31228_";"de:vvs:31228_:";
"229";"Miedelsbach - Steinenberg - Krehwinkel - Necklinsberg";"31";"31229_";"de:vvs:31229_:";
"230";"Lindental / Necklinsberg - Rudersberg - Mannenberg und zurück";"31";"31230_";"de:vvs:31230_:";
"234";"Schorndorf - Schornbach - Necklinsberg - Oppelsbohm";"31";"31234_";"de:vvs:31234_:";
"241";"Unterberken - Oberberken - Schorndorf";"31";"31241_";"de:vvs:31241_:";
"242";"Schorndorf Bahnhof- Rems-Murr-Klinik - Spittler Stift -
Grauhalde - Rems-Murr-Klinik - Bahnhof";"31";"31242_";"de:vvs:31242_:";
"242A";"Schülerverkehr Schorndorf";"31";"31242a";"de:vvs:31242a:";
"243";"Schorndorf - Urbach - Plüderhausen";"31";"31243_";"de:vvs:31243_:";
"243A";"Schorndorf - Urbach - Plüderhausen";"31";"31243a";"de:vvs:31243a:";
"244";"Schorndorf - Schornbach - Birkenweißbuch - Oppelsbohm";"31";"31244_";"de:vvs:31244_:";
"244A";"Schülerverkehr Schorndorf - Schornbach - Necklinsberg - Oppelsbohm";"31";"31244a";"de:vvs:31244a:";
"245";"Schorndorf - Weiler - Rohrbronn -
Hößlinswart (- Erlenhof)";"31";"31245_";"de:vvs:31245_:";
"245A";"Geradstetten - Winterbach - Schorndorf";"31";"31245a";"";
