Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Relationscode;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;
"Schönbergstraße";"Kemnat Schönbergstr.";"3050";"de:08116:3050";08116080;"Ostfildern";"Kemnat";"ES";"030";"30,2";"Bus";"131";"31131_";1;"31";9,2262812;48,7239371;
"Kopernikusstraße";"Böblingen Kopernikusstraße";"3099";"de:08115:3099";08115003;"Böblingen";"Böblingen";"BB";"048";"3";"Bus";"706";"31706_";1;"31";9,0142023;48,6885943;
"Arbeiterzentrum";"Böblingen Arbeiterzentrum";"3101";"de:08115:3101";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus";"705,709,709A,721,723,725,760,760A,761,X16,X76";"31705_,31709_,31709a,31721_,31723_,31725_,31760_,31760a,31761_,31X16_,31X76_";11;"31";9,0128165;48,6867779;
"Thermalbad (Stuttgarter Str.)";"Böbl.Thermalbad (Stuttg. Str.)";"3102";"de:08115:3102";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus";"708";"31708_";1;"31";9,0270399;48,6932770;
"Karlstraße";"Böblingen Karlstraße";"3103";"de:08115:3103";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus;Nachtbus";"701,701A,703,721,N74";"31701_,31701a,31703_,31721_,34074_";5;"31,34";9,0055774;48,6855466;
"Postplatz";"Böblingen Postplatz";"3104";"de:08115:3104";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus";"705,709,709A,721,721A,723,725,760,760A,761,X16,X76";"31705_,31709_,31709a,31721_,31721a,31723_,31725_,31760_,31760a,31761_,31X16_,31X76_";12;"31";9,0154102;48,6856266;
"Elbenplatz";"Böblingen Elbenplatz";"3105";"de:08115:3105";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus";"705,709,709A,721,721A,723,725,760,760A,761,X16,X76";"31705_,31709_,31709a,31721_,31721a,31723_,31725_,31760_,31760a,31761_,31X16_,31X76_";12;"31";9,0100183;48,6849887;
"Breslauer Straße";"Böblingen Breslauer Str.";"3106";"de:08115:3106";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus;SEV-Bus";"R46E,722,723A,763A";"31046e,31722_,31723a,31763a";4;"31";8,9973066;48,6814012;
"Freibad";"Böblingen Freibad";"3107";"de:08115:3107";08115003;"Böblingen";"Böblingen";"BB";"048";"48,3";"Bus;SEV-Bus";"708,S1E";"31708_,36001a,36001e";3;"31,36";9,0229509;48,6923157;
"Nord";"Weil i. S. Nord";"3108";"de:08115:3108";08115051;"Weil im Schönbuch";"Weil im Schönbuch";"BB";"468";"58,68,4,5";"Bus;Nachtbus;Ruftaxi";"756,760A,761,761A,N74,RT46";"31756_,31760a,31761_,31761a,34074_,51046_";6;"31,34,51";9,0609047;48,6277711;
