id,name,municipality,locality,modes,lines,line_count,selection_reason
de:08116:7801,ZOB,Esslingen am Neckar,Esslingen (N),Bus; Nachtbus; SEV-Bus,"101, 102, 103, 104, 105, 106, 108, 109, 110, 111, 113, 114, 115, 118, 119, 120, 122, 130, 131, 140, N12, N13, N14, N16, N19, N22, X20, S1E, MEX16E",29,surrounding_city_many_lines
de:08116:2803,Zollberg,Esslingen am Neckar,Zollberg,Bus; Nachtbus,"113, 118, 119, 120, N19",5,surrounding_city_many_lines
de:08119:38,Esslinger Straße,Fellbach,Fellbach,Bus; Stadtbahn,"U1, U16, 212",3,surrounding_city_rail
de:08119:6500,Fellbach,Fellbach,Fellbach,Bus; Nachtbus; R-Bahn; S-Bahn; SEV-Bus,"S2, S3, RE1, MEX19, RE90, MEX90, 60, 210, 212, 214, 215, N6, S2E",13,surrounding_city_rail
de:08119:2381,Gemeindezentrum,Fellbach,Oeffingen,Bus; Nachtbus,"60, 214, N6",3,surrounding_city_keyword
de:08119:37,Höhenstraße,Fellbach,Fellbach,Nachtbus; Stadtbahn,"U1, U16, N6",3,surrounding_city_rail
de:08119:2378,Jakob-/Butterstraße,Fellbach,Schmiden,Bus; Nachtbus,"58, 60, 205, 214, N6",5,surrounding_city_many_lines
de:08119:6040,Lutherkirche,Fellbach,Fellbach,Bus; Nachtbus; Stadtbahn,"U1, U16, 60, 207, 212, 215, N6",7,surrounding_city_rail
de:08119:2377,Rathaus,Fellbach,Schmiden,Bus; Nachtbus,"58, 60, 205, 214, N6",5,surrounding_city_many_lines
de:08119:39,Schwabenlandhalle,Fellbach,Fellbach,Bus; Stadtbahn,"U1, U16, 207, 212",4,surrounding_city_rail
de:08116:2082,Am Lindle,Filderstadt,Bonlanden,Bus,"812, 813, 815, 816A, 818A",5,surrounding_city_many_lines
de:08116:2006,Bahnhof,Filderstadt,Bernhausen,Bus; Nachtbus; SEV-Bus,"X4, 74, 76, 805, 807, 808, 809, 809A, 811, 812, 813, 814, 815, 816, 816A, 817, 818, N89, S2E, X3",20,surrounding_city_many_lines
de:08116:2015,Bonlandener Straße,Filderstadt,Bonlanden,Bus; Nachtbus,"77, 805, 808, 816A, 818A, N89",6,surrounding_city_many_lines
de:08116:2081,Carl-Zeiss-Straße,Filderstadt,Harthausen,Bus,"X7, 77, 805, 809, 809A, 816A",6,surrounding_city_many_lines
de:08116:2025,Driefbrunnen,Filderstadt,Plattenhardt,Bus,"X7, 76, 77, 812, 813, 814, 816A, 818, 818A",9,surrounding_city_many_lines
de:08116:2049,Eduard-Spranger-Gymnasium,Filderstadt,Bernhausen,Bus,"809A, 814, 816A, 818, 818A",5,surrounding_city_many_lines
de:08116:2016,Filderklinik,Filderstadt,Bonlanden,Bus,"809A, 812, 813, 815, 816A",5,surrounding_city_many_lines
de:08116:1905,Filderstadt,Filderstadt,Bernhausen,S-Bahn,"S2, S24",2,surrounding_city_rail
