id,name,name_with_place,municipality,locality,county,tariff_zones,modes,lines,line_count,longitude,latitude
de:08118:5700,Burgplatz,Bönnigheim Burgplatz,Bönnigheim,Bönnigheim,LB,"65, 5",Bus; Nachtbus,"554, 574, N57, 666",4,9.0906714,49.0422146
de:08135:1610,Burgstall,Sontheim i Stubental Burgstall,Steinheim am Albuch,Sontheim i Stubental,HDH,,Bus,35,1,10.0679755,48.6747455
de:08117:2157,Burgstall,Uhingen Burgstall,Uhingen,Uhingen,GP,"4, 5",Bus; Ruftaxi,"922, 922A, RT922",3,9.5796873,48.698986
de:08119:7500,Burgstall (M),Burgstall (M),Burgstetten,Burgstall (Burgstetten),WN,"54, 4",Bus; Nachtbus; R-Bahn; S-Bahn; SEV-Bus,"S4, MEX19, RE90, MEX90, 455, 477, N30, S4E",8,9.3697356,48.9285183
de:08119:3471,Burgstaller Straße,Erbstetten Burgstaller Str.,Burgstetten,Erbstetten,WN,"54, 4",Bus; Nachtbus,"455, 477, N30",3,9.3885586,48.9254889
de:08119:3528,Burgstaller Straße,Kirchberg (M) Burgstaller Str.,Kirchberg an der Murr,Kirchberg (M),WN,"54, 55, 4",Bus; Nachtbus,"455, N30",2,9.348187,48.9441868
de:08116:2145,Burgstraße,Echterdingen Burgstraße,Leinfelden-Echterdingen,Echterdingen,ES,"38, 2",Bus; Nachtbus,"814, 828, X82, N18",4,9.1695196,48.6906818
de:08119:6698,Burgstraße,Urbach Burgstraße,Urbach,Urbach,WN,"52, 62, 4, 5",Bus,"243A, 249",2,9.5771037,48.8185537
de:08116:4011,Burgunderstraße,Mettingen Burgunderstr.,Esslingen am Neckar,Mettingen,ES,"31, 2",Bus,"101, 102, 115",3,9.2796382,48.7453566
de:08119:5310,Burgunderweg,Hanweiler Burgunderweg,Winnenden,Hanweiler,WN,"43, 3",Bus,"332, 334",2,9.389809,48.8547788
de:08119:5992,Burkhardshof,Birkmannsw. Burkhardshof,Winnenden,Birkmannsweiler,WN,"43, 3",Bus,"336, 337A",2,9.4212381,48.8683993
de:08115:3151,Burkhardtsmühle,Waldenbuch Burkhardtsmühle,Waldenbuch,Waldenbuch,BB,"38, 48, 58, 2, 3",Bus,"809A, 815",2,9.1707055,48.6358524
de:08116:4432,Burrenhof,Erkenbrechtsweiler Burrenhof,Erkenbrechtsweiler,Erkenbrechtsweiler,ES,"70, 71, 5",Bus,191,1,9.4119268,48.5373915
de:08119:5060,Busbahnhof,Welzheim Busbahnhof,Welzheim,Welzheim,WN,"72, 5",Bus,"257, 263, 264, 266, 266A, 330, 375",7,9.6307039,48.87407
de:08119:7509,Bushof Abzweig,Sulzbach (M) Bushof Abzw.,Sulzbach an der Murr,Sulzbach (M),WN,"63, 64, 73, 74, 5",Bus; Ruftaxi,"380A, RT380",2,9.5391023,49.0240927
de:08111:2432,Bußbachstraße,Bußbachstraße,Stuttgart,Stuttgart,S,"20, 1",Bus,66,1,9.2199708,48.7479142
de:08125:14632,Bustadt Mitte,Ilsfeld Bustadt Mitte,Ilsfeld,Ilsfeld,HNLA,,Bus,646,1,9.2626288,49.0623802
de:08125:14633,Bustadt Ost,Ilsfeld Bustadt Ost,Ilsfeld,Ilsfeld,HNLA,,Bus,646,1,9.2637632,49.0646975
de:08119:7538,Butzberg,Grab Butzberg,Großerlach,Grab,WN,"73, 74, 5",Bus,377,1,9.5978442,49.0299536
de:08111:2520,Bächlenweg,Bächlenweg,Stuttgart,Stuttgart,S,"20, 31, 1, 2",Bus; Ruftaxi,"62, RT7",2,9.246778,48.7573468
de:08117:3378,Bäckerei Herb,Heiningen Bäckerei Herb,Heiningen,Heiningen (GP),GP,"5, 6",Bus; Nachtbus,"981, 981A, 983, 983A, 984, 984A, N94, N98",8,9.6511105,48.6606104
de:08117:7605,Bäckerei Staudenmayer,Salach Bäck. Staudenmayer,Salach,Salach,GP,6,Bus,"941A, N97",2,9.7344395,48.6863673
de:08116:4133,Bärenwiesen,Serach Bärenwiesen,Esslingen am Neckar,Serach,ES,"31, 2",Bus; Nachtbus,"111, 132, N12",3,9.3120152,48.7544186
de:08136:6100,Böbingen (R),Böbingen (R),Böbingen an der Rems,Böbingen (R),AA,,R-Bahn; SEV-Bus,"RE1, MEX13, XEV",3,9.9127856,48.8224975
de:08115:7100,Böblingen,Böblingen,Böblingen,Böblingen,BB,"48, 3",Bus; IC; Nachtbus; R-Bahn; Ruftaxi; S-Bahn; SEV-Bus,"S1, S60, S61, RE4, RE14, SVG, RB46, IC, R46E, 631, 701, 701A, 703, 704, 706, 707, 709, 709A, 717, 721, 721A, 722, 722A, 723, 723A, 725, 728, 743, 744, 760, 760A, 761, 763, 763A, 766, 769, X16, X76, N73, N74, N75, S1E, S6X, S60E, SXE, RT760, RT763, RT766, RT46",49,9.0045319,48.6878487
de:08119:4970,Böhringsweiler,Großerl. Böhringsweiler,Großerlach,Großerlach,WN,"73, 74, 5",Bus; Ruftaxi,"372, 380, RT380",3,9.5108896,49.0729398
de:08117:7673,Büchenbronn Forsthaus,Ebersb.(F) Büchenbr. Forsthaus,Ebersbach an der Fils,Ebersbach (F),GP,4,Bus,"916A, 917",2,9.5103501,48.7378922
de:08117:7638,Büchenbronn Gemeindehaus,Ebersb.(F) Büchenbr. Gemeindeh,Ebersbach an der Fils,Ebersbach (F),GP,4,Bus; Ruftaxi,"916A, 917, RT917",3,9.5067732,48.7323597
