gml_id,id,line,dir,distGis,text,textEfa,textDiva,lineVersio,branch,title,validFrom,validUntil,operator,operatorco
,13029250,6117598,"H,R",49620,76,76,30076_,1,30,Degerloch - Bernhausen - Echterdingen,20.12.2025,,01 - SSB,SSB - ssb
,13029251,6117019,"H,R",36676,77,77,30077_,1,30,Degerloch - Echterdingen - Harthausen,20.12.2025,,01 - SSB,SSB - ssb
,12583127,6117556,"H,R",3200,80,80,30080_,1,30,Vaihingen Bf (Ost) - Synergiepark - Vaihingen Bf (Ost),20.12.2025,,01 - SSB,SSB - ssb
,13029254,6116849,"H,R",16299,81,81,30081_,1,30,Büsnau - Vaihingen - Dürrlewang,20.12.2025,,01 - SSB,SSB - ssb
,14523417,6117394,"H,R",36275,82,82,30082_,4,30,Waldeck - Vaihingen - Hans-Rehn-Stift - Rohr Mitte (- Leinfelden Bf),28.04.2026,16.07.2026,01 - SSB,SSB - ssb
,14058260,6117394,"H,R",36009,82,82,30082_,1,30,Waldeck - Vaihingen - Hans-Rehn-Stift - Rohr Mitte (- Leinfelden Bf),28.03.2026,,01 - SSB,SSB - ssb
,12583593,6117078,"H,R",55004,84,84,30084_,1,30,Vaihingen - Sindelfingen - Universität,28.03.2026,,01 - SSB,SSB - ssb
,13029255,6117744,"H,R",14307,86,86,30086_,1,30,Vaihingen - Rohr Mitte - Leinfelden,20.12.2025,,01 - SSB,SSB - ssb
,14523420,6117744,"H,R",14573,86,86,30086_,3,30,Vaihingen - Rohr Mitte - Leinfelden,28.04.2026,16.07.2026,01 - SSB,SSB - ssb
,13029256,6117798,"H,R",25544,90,90,30090_,1,30,Korntal - Weilimdorf - Giebel,20.12.2025,,01 - SSB,SSB - ssb
